Host Name,Operating System,IP Address,Fdqn
host109,Ubuntu 20.04 (Workstation),192.168.7.145,host109.corp.local
host110,Windows Server 2019 (Server),192.168.44.55,host110.corp.local
host111,Ubuntu 22.04 (Workstation),192.168.147.202,host111.corp.local
host112,CentOS 7 (Workstation),192.168.9.59,host112.corp.local
host113,Windows Server 2019 (Server),192.168.14.65,host113.corp.local
host114,Windows Server 2022 (Server),192.168.205.250,host114.corp.local
host115,Ubuntu 20.04 (Workstation),192.168.0.108,host115.corp.local
host116,Windows Server 2022 (Server),192.168.116.128,host116.corp.local
host117,CentOS 7 (Server),192.168.144.102,host117.corp.local
host118,Windows Server 2019 (Server),192.168.51.96,host118.corp.local
host119,Ubuntu 20.04 (Server),192.168.85.123,host119.corp.local
host120,CentOS 7 (Workstation),192.168.173.78,host120.corp.local
host121,Ubuntu 22.04 (Workstation),192.168.33.54,host121.corp.local
host122,Windows Server 2019 (Server),192.168.144.131,host122.corp.local
host123,Ubuntu 22.04 (Workstation),192.168.198.63,host123.corp.local
host124,Ubuntu 20.04 (Server),192.168.187.197,host124.corp.local
host125,Windows Server 2019 (Server),192.168.146.209,host125.corp.local
host126,Windows Server 2019 (Server),192.168.153.47,host126.corp.local
host127,Debian 11 (Workstation),192.168.174.207,host127.corp.local
host128,CentOS 7 (Server),192.168.51.142,host128.corp.local
host129,Windows Server 2019 (Server),192.168.110.213,host129.corp.local
host130,Windows 10 (Workstation),192.168.192.11,host130.corp.local
host131,CentOS 7 (Workstation),192.168.5.5,host131.corp.local
host132,Debian 11 (Workstation),192.168.135.206,host132.corp.local
host133,Ubuntu 22.04 (Workstation),192.168.80.101,host133.corp.local
host134,CentOS 7 (Workstation),192.168.71.190,host134.corp.local
host135,Ubuntu 22.04 (Workstation),192.168.120.158,host135.corp.local
host136,Windows 11 (Server),192.168.114.81,host136.corp.local
host137,Ubuntu 22.04 (Server),192.168.104.4,host137.corp.local
host138,Windows 11 (Workstation),192.168.87.100,host138.corp.local
host139,Windows 10 (Server),192.168.32.230,host139.corp.local
host140,Debian 11 (Workstation),192.168.15.76,host140.corp.local
host141,Ubuntu 22.04 (Workstation),192.168.6.223,host141.corp.local
host142,Ubuntu 22.04 (Workstation),192.168.142.78,host142.corp.local
host143,Windows 11 (Workstation),192.168.218.56,host143.corp.local
host144,Windows Server 2022 (Server),192.168.113.43,host144.corp.local
host145,Ubuntu 22.04 (Workstation),192.168.88.179,host145.corp.local
host146,Ubuntu 22.04 (Workstation),192.168.21.218,host146.corp.local
host147,Windows 10 (Workstation),192.168.157.233,host147.corp.local
host148,Debian 11 (Workstation),192.168.38.201,host148.corp.local
host149,Windows 10 (Workstation),192.168.99.254,host149.corp.local
host150,Ubuntu 22.04 (Workstation),192.168.57.72,host150.corp.local
host151,Windows Server 2019 (Server),192.168.232.228,host151.corp.local
host152,CentOS 7 (Workstation),192.168.5.8,host152.corp.local
host153,Windows Server 2019 (Server),192.168.159.245,host153.corp.local
host154,Windows Server 2022 (Server),192.168.253.89,host154.corp.local
host155,Windows 11 (Server),192.168.176.17,host155.corp.local
host156,Windows 11 (Server),192.168.18.247,host156.corp.local
host157,CentOS 7 (Workstation),192.168.196.34,host157.corp.local
host158,Windows 10 (Workstation),192.168.95.56,host158.corp.local
host159,Windows Server 2019 (Server),192.168.191.107,host159.corp.local
host160,CentOS 7 (Server),192.168.233.61,host160.corp.local
host161,Ubuntu 22.04 (Server),192.168.26.211,host161.corp.local
host162,Ubuntu 22.04 (Workstation),192.168.160.30,host162.corp.local
host163,CentOS 7 (Server),192.168.127.181,host163.corp.local
host164,Ubuntu 20.04 (Server),192.168.109.238,host164.corp.local
host165,Ubuntu 22.04 (Server),192.168.161.194,host165.corp.local
host166,Debian 11 (Server),192.168.194.135,host166.corp.local
host167,Windows Server 2019 (Server),192.168.29.8,host167.corp.local
host168,Windows Server 2022 (Server),192.168.138.138,host168.corp.local
host169,CentOS 7 (Server),192.168.132.65,host169.corp.local
host170,Ubuntu 22.04 (Workstation),192.168.151.36,host170.corp.local
host171,Ubuntu 22.04 (Workstation),192.168.242.64,host171.corp.local
host172,Windows 10 (Workstation),192.168.87.76,host172.corp.local
host173,CentOS 7 (Workstation),192.168.112.91,host173.corp.local
host174,Windows 10 (Server),192.168.111.196,host174.corp.local
host175,Debian 11 (Server),192.168.81.215,host175.corp.local
host176,Debian 11 (Workstation),192.168.152.95,host176.corp.local
host177,Ubuntu 22.04 (Server),192.168.30.73,host177.corp.local
host178,Windows Server 2022 (Server),192.168.173.45,host178.corp.local
host179,Windows Server 2022 (Server),192.168.168.30,host179.corp.local
host180,Windows 10 (Workstation),192.168.54.151,host180.corp.local
host181,Ubuntu 20.04 (Workstation),192.168.14.14,host181.corp.local
host182,Debian 11 (Workstation),192.168.15.115,host182.corp.local
host183,Ubuntu 20.04 (Server),192.168.6.36,host183.corp.local
host184,Debian 11 (Server),192.168.154.17,host184.corp.local
host185,Windows 10 (Server),192.168.91.104,host185.corp.local
host186,Windows 10 (Server),192.168.73.121,host186.corp.local
host187,Windows 10 (Workstation),192.168.176.68,host187.corp.local
host188,CentOS 7 (Workstation),192.168.143.32,host188.corp.local
host189,Ubuntu 20.04 (Workstation),192.168.87.165,host189.corp.local
host190,Windows 11 (Server),192.168.66.3,host190.corp.local
host191,Ubuntu 20.04 (Workstation),192.168.151.78,host191.corp.local
host192,Ubuntu 20.04 (Server),192.168.103.68,host192.corp.local
host193,Windows 10 (Workstation),192.168.79.86,host193.corp.local
host194,Ubuntu 22.04 (Workstation),192.168.131.88,host194.corp.local
host195,Ubuntu 22.04 (Workstation),192.168.232.186,host195.corp.local
host196,Debian 11 (Workstation),192.168.85.91,host196.corp.local
host197,CentOS 7 (Workstation),192.168.158.232,host197.corp.local
host198,Debian 11 (Server),192.168.49.34,host198.corp.local
host199,CentOS 7 (Workstation),192.168.217.210,host199.corp.local
host200,Windows Server 2019 (Server),192.168.211.227,host200.corp.local
host201,Windows 11 (Workstation),192.168.93.225,host201.corp.local
host202,Windows Server 2019 (Server),192.168.244.102,host202.corp.local
host203,Debian 11 (Workstation),192.168.190.170,host203.corp.local
host204,Debian 11 (Server),192.168.162.74,host204.corp.local
host205,Windows 10 (Workstation),192.168.78.68,host205.corp.local
host206,Windows Server 2022 (Server),192.168.242.19,host206.corp.local
host207,Windows Server 2022 (Server),192.168.151.50,host207.corp.local
host208,Windows Server 2019 (Server),192.168.76.67,host208.corp.local
host209,Debian 11 (Workstation),192.168.80.182,host209.corp.local
host210,Windows Server 2019 (Server),192.168.0.93,host210.corp.local
host211,Windows 10 (Workstation),192.168.209.148,host211.corp.local
host212,CentOS 7 (Workstation),192.168.238.240,host212.corp.local
host213,Ubuntu 22.04 (Server),192.168.4.111,host213.corp.local
host214,Windows 11 (Server),192.168.26.246,host214.corp.local
host215,Windows Server 2019 (Server),192.168.242.213,host215.corp.local
host216,CentOS 7 (Workstation),192.168.154.24,host216.corp.local
host217,Windows Server 2019 (Server),192.168.37.204,host217.corp.local
host218,Windows Server 2019 (Server),192.168.3.148,host218.corp.local
host219,Windows 11 (Workstation),192.168.127.160,host219.corp.local
host220,Ubuntu 20.04 (Workstation),192.168.197.131,host220.corp.local
host221,Ubuntu 22.04 (Workstation),192.168.63.74,host221.corp.local
host222,Windows 11 (Workstation),192.168.135.103,host222.corp.local
host223,Ubuntu 22.04 (Server),192.168.50.137,host223.corp.local
host224,CentOS 7 (Workstation),192.168.180.200,host224.corp.local
host225,Windows Server 2022 (Server),192.168.150.154,host225.corp.local
host226,Windows 11 (Workstation),192.168.245.85,host226.corp.local
host227,Windows Server 2019 (Server),192.168.42.216,host227.corp.local
host228,CentOS 7 (Server),192.168.174.170,host228.corp.local
host229,CentOS 7 (Workstation),192.168.136.210,host229.corp.local
host230,Windows Server 2022 (Server),192.168.208.24,host230.corp.local
host231,CentOS 7 (Workstation),192.168.53.96,host231.corp.local
host232,Debian 11 (Workstation),192.168.196.164,host232.corp.local
host233,Ubuntu 20.04 (Workstation),192.168.250.58,host233.corp.local
host234,Debian 11 (Server),192.168.251.231,host234.corp.local
host235,Ubuntu 22.04 (Server),192.168.225.177,host235.corp.local
host236,Windows Server 2019 (Server),192.168.41.77,host236.corp.local
host237,CentOS 7 (Workstation),192.168.154.88,host237.corp.local
host238,Ubuntu 22.04 (Workstation),192.168.3.252,host238.corp.local
host239,Ubuntu 22.04 (Workstation),192.168.71.224,host239.corp.local
host240,Ubuntu 20.04 (Workstation),192.168.70.84,host240.corp.local
host241,Debian 11 (Server),192.168.178.118,host241.corp.local
host242,Windows Server 2022 (Server),192.168.94.60,host242.corp.local
host243,CentOS 7 (Server),192.168.31.123,host243.corp.local
host244,Windows 11 (Workstation),192.168.80.250,host244.corp.local
host245,CentOS 7 (Workstation),192.168.167.209,host245.corp.local
host246,CentOS 7 (Server),192.168.249.204,host246.corp.local
host247,CentOS 7 (Workstation),192.168.90.60,host247.corp.local
host248,Debian 11 (Server),192.168.45.15,host248.corp.local
host249,Ubuntu 20.04 (Workstation),192.168.216.37,host249.corp.local
host250,Windows 10 (Workstation),192.168.251.236,host250.corp.local
host251,CentOS 7 (Server),192.168.83.122,host251.corp.local
host252,Windows Server 2019 (Server),192.168.60.196,host252.corp.local
host253,Debian 11 (Workstation),192.168.45.233,host253.corp.local
host254,Windows 10 (Server),192.168.164.98,host254.corp.local
host255,Windows 11 (Workstation),192.168.123.60,host255.corp.local
host256,Windows Server 2019 (Server),192.168.17.4,host256.corp.local
host257,CentOS 7 (Workstation),192.168.180.197,host257.corp.local
host258,CentOS 7 (Workstation),192.168.15.61,host258.corp.local
host259,Ubuntu 22.04 (Server),192.168.169.168,host259.corp.local
host260,Windows Server 2022 (Server),192.168.30.3,host260.corp.local
host261,Windows 10 (Workstation),192.168.96.94,host261.corp.local
host262,Ubuntu 22.04 (Server),192.168.173.36,host262.corp.local
host263,Ubuntu 22.04 (Workstation),192.168.154.174,host263.corp.local
host264,Windows 10 (Server),192.168.60.49,host264.corp.local
host265,Debian 11 (Workstation),192.168.71.62,host265.corp.local
host266,Debian 11 (Workstation),192.168.92.27,host266.corp.local
host267,Windows Server 2022 (Server),192.168.134.34,host267.corp.local
host268,Windows Server 2022 (Server),192.168.82.45,host268.corp.local
host269,Windows 10 (Server),192.168.225.213,host269.corp.local
host270,Debian 11 (Server),192.168.8.171,host270.corp.local
host271,CentOS 7 (Workstation),192.168.208.115,host271.corp.local
host272,Ubuntu 20.04 (Server),192.168.246.75,host272.corp.local
host273,Debian 11 (Server),192.168.126.57,host273.corp.local
host274,CentOS 7 (Workstation),192.168.141.240,host274.corp.local
host275,Windows 11 (Workstation),192.168.162.90,host275.corp.local
host276,Windows 10 (Server),192.168.57.233,host276.corp.local
host277,Debian 11 (Workstation),192.168.41.99,host277.corp.local
host278,Ubuntu 20.04 (Workstation),192.168.178.208,host278.corp.local
host279,Windows Server 2019 (Server),192.168.171.148,host279.corp.local
host280,Ubuntu 22.04 (Workstation),192.168.244.239,host280.corp.local
host281,Ubuntu 20.04 (Server),192.168.80.158,host281.corp.local
host282,Windows Server 2019 (Server),192.168.160.78,host282.corp.local
host283,CentOS 7 (Workstation),192.168.141.42,host283.corp.local
host284,Debian 11 (Workstation),192.168.108.23,host284.corp.local
host285,Windows Server 2019 (Server),192.168.37.156,host285.corp.local
host286,Ubuntu 20.04 (Workstation),192.168.87.196,host286.corp.local
host287,Debian 11 (Server),192.168.163.140,host287.corp.local
host288,Ubuntu 20.04 (Server),192.168.115.2,host288.corp.local
host289,Windows 11 (Server),192.168.166.160,host289.corp.local
host290,Windows Server 2022 (Server),192.168.226.239,host290.corp.local
host291,Windows Server 2022 (Server),192.168.104.158,host291.corp.local
host292,Windows 11 (Server),192.168.139.54,host292.corp.local
host293,Windows 10 (Server),192.168.62.197,host293.corp.local
host294,Windows Server 2022 (Server),192.168.94.80,host294.corp.local
host295,Ubuntu 22.04 (Server),192.168.20.70,host295.corp.local
host296,Windows Server 2022 (Server),192.168.194.22,host296.corp.local
host297,Ubuntu 20.04 (Workstation),192.168.192.47,host297.corp.local
host298,Ubuntu 20.04 (Workstation),192.168.6.210,host298.corp.local
host299,Windows 10 (Server),192.168.190.193,host299.corp.local
host300,Windows 10 (Server),192.168.113.195,host300.corp.local
host301,Windows 11 (Workstation),192.168.175.168,host301.corp.local
host302,Ubuntu 20.04 (Workstation),192.168.141.63,host302.corp.local
host303,Windows Server 2022 (Server),192.168.67.194,host303.corp.local
host304,Windows Server 2019 (Server),192.168.162.156,host304.corp.local
host305,Debian 11 (Workstation),192.168.56.47,host305.corp.local
host306,Windows 11 (Workstation),192.168.126.79,host306.corp.local
host307,Debian 11 (Workstation),192.168.250.88,host307.corp.local
host308,Windows 11 (Workstation),192.168.169.21,host308.corp.local
host309,Windows 10 (Server),192.168.194.135,host309.corp.local
host310,Ubuntu 20.04 (Workstation),192.168.104.36,host310.corp.local
host311,Windows Server 2022 (Server),192.168.92.192,host311.corp.local
host312,CentOS 7 (Workstation),192.168.200.229,host312.corp.local
host313,Ubuntu 20.04 (Workstation),192.168.169.236,host313.corp.local
host314,Windows Server 2019 (Server),192.168.193.49,host314.corp.local
host315,Ubuntu 22.04 (Workstation),192.168.87.73,host315.corp.local
host316,Ubuntu 20.04 (Workstation),192.168.12.182,host316.corp.local
host317,Windows Server 2022 (Server),192.168.253.21,host317.corp.local
host318,Debian 11 (Server),192.168.153.34,host318.corp.local
host319,Windows Server 2019 (Server),192.168.44.43,host319.corp.local
host320,Windows Server 2019 (Server),192.168.199.130,host320.corp.local
host321,Windows 10 (Workstation),192.168.255.140,host321.corp.local
host322,CentOS 7 (Server),192.168.240.98,host322.corp.local
host323,Windows 10 (Workstation),192.168.4.127,host323.corp.local
host324,Ubuntu 20.04 (Workstation),192.168.81.219,host324.corp.local
host325,Ubuntu 22.04 (Workstation),192.168.204.145,host325.corp.local
host326,Debian 11 (Workstation),192.168.226.134,host326.corp.local
host327,Windows 11 (Workstation),192.168.178.184,host327.corp.local
host328,Debian 11 (Server),192.168.87.51,host328.corp.local
host329,Ubuntu 22.04 (Server),192.168.253.133,host329.corp.local
host330,Windows 10 (Workstation),192.168.26.38,host330.corp.local
host331,CentOS 7 (Workstation),192.168.202.79,host331.corp.local
host332,Debian 11 (Workstation),192.168.243.81,host332.corp.local
host333,Ubuntu 20.04 (Server),192.168.161.100,host333.corp.local
host334,Windows 10 (Workstation),192.168.254.27,host334.corp.local
host335,Windows Server 2019 (Server),192.168.10.7,host335.corp.local
host336,Windows Server 2019 (Server),192.168.66.181,host336.corp.local
host337,Ubuntu 20.04 (Workstation),192.168.129.33,host337.corp.local
host338,Debian 11 (Workstation),192.168.173.68,host338.corp.local
host339,Debian 11 (Workstation),192.168.216.58,host339.corp.local
host340,Ubuntu 20.04 (Workstation),192.168.99.95,host340.corp.local
host341,CentOS 7 (Server),192.168.115.246,host341.corp.local
host342,CentOS 7 (Workstation),192.168.202.137,host342.corp.local
host343,Windows 10 (Workstation),192.168.141.252,host343.corp.local
host344,Windows Server 2022 (Server),192.168.118.161,host344.corp.local
host345,Windows 11 (Workstation),192.168.52.30,host345.corp.local
host346,Windows Server 2019 (Server),192.168.107.36,host346.corp.local
host347,Windows Server 2022 (Server),192.168.89.63,host347.corp.local
host348,Windows 11 (Workstation),192.168.188.133,host348.corp.local
host349,Windows Server 2019 (Server),192.168.210.152,host349.corp.local
host350,Windows Server 2022 (Server),192.168.252.141,host350.corp.local
host351,Windows Server 2022 (Server),192.168.161.250,host351.corp.local
host352,Windows Server 2019 (Server),192.168.100.163,host352.corp.local
host353,CentOS 7 (Workstation),192.168.145.116,host353.corp.local
host354,Windows Server 2022 (Server),192.168.222.15,host354.corp.local
host355,Windows Server 2022 (Server),192.168.68.151,host355.corp.local
host356,Windows Server 2019 (Server),192.168.15.188,host356.corp.local
host357,CentOS 7 (Workstation),192.168.118.7,host357.corp.local
host358,Windows Server 2019 (Server),192.168.178.105,host358.corp.local
host359,Debian 11 (Workstation),192.168.126.141,host359.corp.local
host360,Windows 11 (Server),192.168.81.126,host360.corp.local
host361,Windows Server 2022 (Server),192.168.75.182,host361.corp.local
host362,Windows 11 (Workstation),192.168.135.176,host362.corp.local
host363,Windows Server 2019 (Server),192.168.16.60,host363.corp.local
host364,Windows Server 2022 (Server),192.168.191.249,host364.corp.local
host365,Windows Server 2019 (Server),192.168.168.16,host365.corp.local
host366,Windows 10 (Workstation),192.168.193.64,host366.corp.local
host367,Windows Server 2022 (Server),192.168.39.4,host367.corp.local
host368,Ubuntu 20.04 (Workstation),192.168.9.161,host368.corp.local
host369,Ubuntu 20.04 (Workstation),192.168.33.102,host369.corp.local
host370,Ubuntu 20.04 (Workstation),192.168.66.98,host370.corp.local
host371,Windows Server 2022 (Server),192.168.14.240,host371.corp.local
host372,Windows 10 (Server),192.168.126.214,host372.corp.local
host373,Debian 11 (Workstation),192.168.168.146,host373.corp.local
host374,Windows 11 (Workstation),192.168.77.24,host374.corp.local
host375,Ubuntu 20.04 (Workstation),192.168.132.146,host375.corp.local
host376,Ubuntu 20.04 (Workstation),192.168.193.251,host376.corp.local
host377,Ubuntu 20.04 (Server),192.168.144.208,host377.corp.local
host378,Windows Server 2022 (Server),192.168.227.175,host378.corp.local
host379,Ubuntu 20.04 (Workstation),192.168.194.156,host379.corp.local
host380,Windows Server 2019 (Server),192.168.90.249,host380.corp.local
host381,Ubuntu 22.04 (Workstation),192.168.26.88,host381.corp.local
host382,Windows Server 2019 (Server),192.168.65.101,host382.corp.local
host383,Windows Server 2022 (Server),192.168.83.154,host383.corp.local
host384,Windows Server 2022 (Server),192.168.60.218,host384.corp.local
host385,Debian 11 (Workstation),192.168.110.102,host385.corp.local
host386,Windows Server 2019 (Server),192.168.238.21,host386.corp.local
host387,Windows 11 (Workstation),192.168.0.205,host387.corp.local
host388,Windows 11 (Workstation),192.168.4.68,host388.corp.local
host389,Ubuntu 20.04 (Workstation),192.168.21.225,host389.corp.local
host390,Windows Server 2019 (Server),192.168.159.98,host390.corp.local
host391,Ubuntu 22.04 (Workstation),192.168.199.128,host391.corp.local
host392,Windows 10 (Workstation),192.168.86.11,host392.corp.local
host393,Ubuntu 22.04 (Workstation),192.168.70.191,host393.corp.local
host394,Debian 11 (Workstation),192.168.47.233,host394.corp.local
host395,Windows Server 2022 (Server),192.168.5.6,host395.corp.local
host396,Windows Server 2022 (Server),192.168.116.114,host396.corp.local
host397,Ubuntu 22.04 (Workstation),192.168.85.158,host397.corp.local
host398,CentOS 7 (Server),192.168.247.18,host398.corp.local
host399,Windows Server 2019 (Server),192.168.49.105,host399.corp.local
host400,Ubuntu 22.04 (Workstation),192.168.62.174,host400.corp.local
host401,Windows Server 2019 (Server),192.168.48.8,host401.corp.local
host402,Windows Server 2019 (Server),192.168.147.40,host402.corp.local
host403,Windows Server 2019 (Server),192.168.69.5,host403.corp.local
host404,Debian 11 (Workstation),192.168.137.10,host404.corp.local
host405,Windows Server 2019 (Server),192.168.166.70,host405.corp.local
host406,Windows Server 2019 (Server),192.168.71.74,host406.corp.local
host407,Windows 11 (Workstation),192.168.98.254,host407.corp.local
host408,Windows Server 2019 (Server),192.168.74.176,host408.corp.local
host409,Ubuntu 22.04 (Server),192.168.130.130,host409.corp.local
host410,CentOS 7 (Workstation),192.168.1.165,host410.corp.local
host411,Ubuntu 22.04 (Workstation),192.168.97.20,host411.corp.local
host412,Windows Server 2022 (Server),192.168.6.176,host412.corp.local
host413,Debian 11 (Server),192.168.58.128,host413.corp.local
host414,Windows 10 (Workstation),192.168.136.10,host414.corp.local
host415,Windows 10 (Server),192.168.58.222,host415.corp.local
host416,Windows Server 2019 (Server),192.168.19.99,host416.corp.local
host417,Windows 11 (Workstation),192.168.189.86,host417.corp.local
host418,Windows Server 2022 (Server),192.168.194.15,host418.corp.local
host419,CentOS 7 (Workstation),192.168.255.11,host419.corp.local
host420,CentOS 7 (Workstation),192.168.85.150,host420.corp.local
host421,Windows Server 2019 (Server),192.168.45.200,host421.corp.local
host422,Ubuntu 22.04 (Server),192.168.161.175,host422.corp.local
host423,Ubuntu 22.04 (Workstation),192.168.147.222,host423.corp.local
host424,Windows 10 (Workstation),192.168.99.199,host424.corp.local
host425,Ubuntu 22.04 (Workstation),192.168.210.222,host425.corp.local
host426,CentOS 7 (Server),192.168.18.193,host426.corp.local
host427,Ubuntu 20.04 (Workstation),192.168.172.183,host427.corp.local
host428,Windows 10 (Workstation),192.168.190.117,host428.corp.local
host429,Windows Server 2022 (Server),192.168.61.163,host429.corp.local
host430,Ubuntu 22.04 (Workstation),192.168.141.189,host430.corp.local
host431,Debian 11 (Workstation),192.168.176.7,host431.corp.local
host432,Windows 11 (Server),192.168.52.107,host432.corp.local
host433,Debian 11 (Workstation),192.168.211.13,host433.corp.local
